"","census_tract_code","year","arrests_B","arrests_W","arrests_total","state","county","ct_pop","ct_white","ct_black","pct_white","pct_black"
"29",10400,2011,76,104,184,37,129,2726,2342,235,0.859134263,0.086206897
"30",10400,2012,58,78,137,37,129,2819,2565,190,0.909897127,0.067399787
"31",10400,2013,49,96,148,37,129,3033,2802,176,0.923837784,0.058028355
"32",10400,2014,43,77,123,37,129,3061,2789,208,0.91114015,0.06795165
"33",10400,2015,56,141,197,37,129,2934,2647,222,0.902181322,0.075664622
"34",10400,2016,45,98,144,37,129,2857,2593,198,0.90759538,0.069303465
"35",10400,2017,42,32,74,37,129,3073,2672,214,0.869508623,0.069638789
"36",10400,2018,46,57,103,37,129,3031,2584,256,0.852523919,0.084460574
"37",10501,2010,232,244,476,37,129,3431,2103,1079,0.612940834,0.314485573
"38",10501,2011,192,310,502,37,129,3970,2159,1518,0.543828715,0.382367758
"39",10501,2012,178,351,535,37,129,4146,2350,1403,0.566811384,0.338398456
"40",10501,2013,162,378,546,37,129,4065,2409,1477,0.592619926,0.363345633
"41",10501,2014,146,313,460,37,129,4380,2720,1426,0.621004566,0.325570776
"42",10501,2015,108,226,334,37,129,4622,2999,1398,0.64885331,0.302466465
"43",10501,2016,124,253,385,37,129,4440,3013,1187,0.678603604,0.267342342
"44",10501,2017,124,181,307,37,129,4274,2844,1226,0.665418811,0.286850725
"45",10501,2018,102,254,362,37,129,4396,3200,1169,0.727934486,0.265923567
"46",10502,2010,191,236,428,37,129,7375,5021,1912,0.680813559,0.259254237
"47",10502,2011,181,308,493,37,129,7441,5563,1375,0.747614568,0.184786991
"48",10502,2012,202,309,515,37,129,7991,5973,1178,0.747465899,0.147415843
"49",10502,2013,159,224,387,37,129,8272,6302,1181,0.761847195,0.142770793
"50",10502,2014,125,225,355,37,129,8408,6408,1207,0.762131304,0.143553758
"51",10502,2015,155,234,393,37,129,8205,5857,1554,0.713833029,0.189396709
"52",10502,2016,140,257,400,37,129,8472,6161,1422,0.727219075,0.167847025
"53",10502,2017,190,250,443,37,129,8753,6188,1832,0.706957615,0.209299669
"54",10502,2018,183,253,441,37,129,8648,6455,1806,0.746415356,0.208834413
"55",10600,2010,175,202,377,37,129,4061,3733,94,0.919231716,0.023147008
"56",10600,2011,140,215,355,37,129,3983,3576,117,0.897815717,0.029374843
"57",10600,2012,132,148,283,37,129,3829,3424,127,0.894228258,0.033167929
"58",10600,2013,85,191,277,37,129,3997,3548,158,0.887665749,0.039529647
"59",10600,2014,112,180,294,37,129,3979,3776,92,0.948982156,0.023121387
"60",10600,2015,98,172,270,37,129,3951,3746,176,0.948114401,0.044545685
"61",10600,2016,109,166,275,37,129,4196,3890,189,0.927073403,0.045042898
"62",10600,2017,116,188,307,37,129,4134,3785,237,0.915578133,0.057329463
"63",10600,2018,110,146,256,37,129,4147,3580,229,0.863274656,0.055220641
"64",10700,2010,57,108,165,37,129,4314,2354,1312,0.545665276,0.304126101
"65",10700,2011,56,59,115,37,129,4333,2374,1530,0.547888299,0.353104085
"66",10700,2012,69,76,147,37,129,4100,2401,1373,0.585609756,0.334878049
"67",10700,2013,68,69,137,37,129,4314,2388,1631,0.553546592,0.378071395
"68",10700,2014,66,79,145,37,129,4263,2206,1806,0.517475956,0.42364532
"69",10700,2015,84,89,173,37,129,4435,2314,1761,0.521758737,0.397068771
"70",10700,2016,84,88,174,37,129,4409,2350,1667,0.53300068,0.37809027
"71",10700,2017,95,131,226,37,129,4511,2485,1674,0.550875637,0.371092884
"72",10700,2018,102,148,251,37,129,4593,2377,1910,0.517526671,0.415850207
"73",10800,2010,76,103,181,37,129,2885,1388,665,0.481109185,0.2305026
"74",10800,2011,58,126,185,37,129,2760,1355,649,0.490942029,0.235144928
"75",10800,2012,81,133,216,37,129,2259,1387,540,0.61398849,0.239043825
"76",10800,2013,60,114,174,37,129,2420,1698,275,0.701652893,0.113636364
"77",10800,2014,56,112,168,37,129,2153,1431,330,0.664653971,0.153274501
"78",10800,2015,29,99,132,37,129,2497,1769,304,0.70845014,0.121746095
"79",10800,2016,56,126,188,37,129,2699,1781,414,0.659874027,0.153390144
"80",10800,2017,52,132,185,37,129,2644,1775,425,0.671331316,0.160741301
"81",10800,2018,61,165,233,37,129,2907,1817,558,0.625043,0.191950464
"82",10900,2010,24,69,94,37,129,2163,1990,65,0.920018493,0.030050855
"83",10900,2011,15,104,119,37,129,2252,2001,99,0.888543517,0.043960924
"84",10900,2012,13,65,79,37,129,2197,2040,71,0.928538917,0.032316796
"85",10900,2013,6,53,59,37,129,2352,2137,118,0.908588435,0.050170068
"86",10900,2014,15,40,55,37,129,2463,2215,156,0.899309785,0.063337393
"87",10900,2015,11,54,66,37,129,2362,1947,298,0.824301439,0.126164268
"88",10900,2016,24,70,95,37,129,2256,1896,300,0.840425532,0.132978723
"89",10900,2017,27,107,136,37,129,2470,1969,336,0.797165992,0.136032389
"90",10900,2018,18,58,76,37,129,2415,2037,223,0.843478261,0.092339545
"91",11000,2010,254,64,321,37,129,2473,1072,1347,0.433481601,0.544682572
"92",11000,2011,263,58,326,37,129,2450,1167,1177,0.476326531,0.480408163
"93",11000,2012,219,65,284,37,129,2322,1221,969,0.525839793,0.417312661
"94",11000,2013,264,51,316,37,129,2197,1213,860,0.552116523,0.391442877
"95",11000,2014,200,79,279,37,129,2574,1193,1285,0.463480963,0.499222999
"96",11000,2015,213,69,283,37,129,2460,1182,1158,0.480487805,0.470731707
"97",11000,2016,194,92,286,37,129,2414,1127,1226,0.466859983,0.507870754
"98",11000,2017,224,119,343,37,129,2344,1064,1195,0.453924915,0.509812287
"99",11000,2018,255,96,351,37,129,2284,1192,977,0.521891419,0.427758319
"100",11100,2010,397,75,472,37,129,2993,163,2688,0.054460408,0.898095556
"101",11100,2011,370,85,458,37,129,3152,166,2726,0.052664975,0.864847716
"102",11100,2012,387,71,458,37,129,2901,286,2400,0.098586694,0.827300931
"103",11100,2013,398,74,475,37,129,2600,170,2359,0.065384615,0.907307692
"104",11100,2014,420,91,511,37,129,2519,147,2289,0.058356491,0.908693926
"105",11100,2015,305,113,419,37,129,2451,157,2218,0.064055488,0.904936761
"106",11100,2016,360,115,477,37,129,2419,402,1933,0.166184374,0.799090533
"107",11100,2017,445,175,623,37,129,2512,246,1990,0.097929936,0.792197452
"108",11100,2018,434,111,546,37,129,2724,344,2036,0.126284875,0.74743025
"109",11200,2010,169,59,229,37,129,2538,1306,1212,0.514578408,0.477541371
"110",11200,2011,219,91,310,37,129,2409,1256,1111,0.521378165,0.461187215
"111",11200,2012,248,86,335,37,129,2131,1155,934,0.541999061,0.438291882
"112",11200,2013,208,61,269,37,129,2180,1212,945,0.555963303,0.433486239
"113",11200,2014,140,72,212,37,129,2160,1153,980,0.533796296,0.453703704
"114",11200,2015,196,84,282,37,129,1983,1233,708,0.621785174,0.357034796
"115",11200,2016,211,113,326,37,129,2472,1177,1248,0.476132686,0.504854369
"116",11200,2017,189,86,277,37,129,2527,1327,1173,0.525128611,0.464186783
"117",11200,2018,197,84,284,37,129,2540,1261,1254,0.496456693,0.493700787
"118",11300,2010,131,309,449,37,129,1493,1173,213,0.785666443,0.142665774
"119",11300,2011,166,394,562,37,129,1357,1049,236,0.77302874,0.173913043
"120",11300,2012,160,439,607,37,129,1487,1144,217,0.76933423,0.145931406
"121",11300,2013,140,307,450,37,129,1633,1170,269,0.71647275,0.164727495
"122",11300,2014,136,268,409,37,129,1533,1125,218,0.733855186,0.142204827
"123",11300,2015,172,301,474,37,129,1671,1251,267,0.748653501,0.15978456
"124",11300,2016,138,288,430,37,129,1758,1383,209,0.78668942,0.118885097
"125",11300,2017,162,336,504,37,129,1804,1304,259,0.722838137,0.143569845
"126",11300,2018,119,210,329,37,129,1816,1337,245,0.73623348,0.134911894
"127",11400,2010,369,324,693,37,129,1362,286,1045,0.209985316,0.767254038
"128",11400,2011,388,317,707,37,129,1407,272,1125,0.193319119,0.799573561
"129",11400,2012,223,170,394,37,129,1502,408,1085,0.271637816,0.722370173
"130",11400,2013,206,119,327,37,129,1633,514,1111,0.314758114,0.680342927
"131",11400,2014,173,127,300,37,129,1687,396,1241,0.234736218,0.73562537
"132",11400,2015,135,149,287,37,129,1717,353,1297,0.205591147,0.755387303
"133",11400,2016,165,74,241,37,129,1681,382,1217,0.227245687,0.723973825
"134",11400,2017,154,127,282,37,129,1664,372,1184,0.223557692,0.711538462
"135",11400,2018,250,135,388,37,129,1652,386,1157,0.233656174,0.700363196
"136",11500,2010,42,49,91,37,129,8118,5660,1826,0.697216063,0.224932249
"137",11500,2011,24,77,101,37,129,8534,6449,1731,0.75568315,0.202835716
"138",11500,2012,36,60,96,37,129,8894,6632,1989,0.745671239,0.223633911
"139",11500,2013,20,55,75,37,129,8893,6673,1875,0.750365456,0.210839987
"140",11500,2014,28,52,81,37,129,8631,6454,1808,0.747769667,0.209477465
"141",11500,2015,23,31,54,37,129,8547,6443,1614,0.753831754,0.188838189
"142",11500,2016,23,46,69,37,129,8450,6281,1748,0.743313609,0.206863905
"143",11500,2017,26,46,72,37,129,8313,6312,1669,0.759292674,0.200769879
"144",11500,2018,32,49,81,37,129,8000,6031,1668,0.753875,0.2085
"145",11603,2010,31,38,69,37,129,6377,4964,965,0.778422456,0.151325074
"146",11603,2011,11,29,40,37,129,6827,5181,1054,0.758898491,0.154386993
"147",11603,2012,16,9,27,37,129,6893,5237,1326,0.759756274,0.19236907
"148",11603,2013,18,72,90,37,129,6662,5086,1273,0.763434404,0.191083759
"149",11603,2014,9,8,17,37,129,7203,5511,1422,0.765097876,0.197417743
"150",11603,2015,6,11,17,37,129,7664,5772,1560,0.753131524,0.203549061
"151",11603,2016,1,5,6,37,129,7499,5601,1517,0.746899587,0.202293639
"152",11603,2017,5,11,16,37,129,7708,5723,1627,0.74247535,0.211079398
"153",11603,2018,9,4,13,37,129,7781,5952,1493,0.764940239,0.191877651
"154",11605,2010,86,98,184,37,129,5228,4046,893,0.773909717,0.170811018
"155",11605,2011,91,147,241,37,129,4916,3292,1312,0.669650122,0.266883645
"156",11605,2012,79,155,236,37,129,4981,3407,1209,0.683999197,0.242722345
"157",11605,2013,94,164,260,37,129,5130,3493,1158,0.680896686,0.225730994
"158",11605,2014,63,111,174,37,129,5060,3743,822,0.73972332,0.162450593
"159",11605,2015,90,162,255,37,129,5044,3962,797,0.785487708,0.158009516
"160",11605,2016,88,115,207,37,129,5382,4139,881,0.769044965,0.163693794
"161",11605,2017,121,133,257,37,129,5115,3904,926,0.763245357,0.181036168
"162",11605,2018,65,103,169,37,129,5603,4176,1346,0.74531501,0.240228449
"163",11606,2010,11,15,26,37,129,4020,3335,470,0.82960199,0.116915423
"164",11606,2011,8,24,33,37,129,4047,3341,549,0.82554979,0.135656042
"165",11606,2012,7,28,35,37,129,4201,3559,463,0.847179243,0.110211854
"166",11606,2013,8,14,22,37,129,4285,3582,600,0.835939323,0.140023337
"167",11606,2014,4,18,23,37,129,4498,3843,509,0.854379724,0.113161405
"168",11606,2015,13,33,46,37,129,4786,4016,629,0.839114083,0.13142499
"169",11606,2016,2,13,15,37,129,4809,4084,595,0.849241006,0.123726346
"170",11606,2017,7,12,19,37,129,5044,4180,671,0.828707375,0.133029342
"171",11606,2018,9,11,20,37,129,5114,4278,628,0.83652718,0.122800156
"172",11607,2010,0,3,3,37,129,10451,8353,882,0.79925366,0.084393838
"173",11607,2011,0,6,6,37,129,10451,8518,924,0.815041623,0.088412592
"174",11607,2012,1,43,44,37,129,10824,9515,891,0.879065041,0.082317073
"175",11607,2013,0,4,4,37,129,10985,9677,986,0.880928539,0.089758762
"176",11607,2014,0,3,3,37,129,10857,9319,1073,0.858340241,0.098830248
"177",11607,2015,0,6,6,37,129,10860,9222,1194,0.849171271,0.109944751
"178",11607,2016,0,1,1,37,129,11571,9543,1385,0.824734249,0.119695791
"179",11607,2017,2,5,7,37,129,11629,9349,1629,0.80393843,0.140080832
"180",11607,2018,0,2,2,37,129,12732,10186,1434,0.800031417,0.112629595
"181",11608,2010,1,0,1,37,129,5308,3934,1195,0.741145441,0.225131876
"182",11608,2011,0,5,5,37,129,5272,4142,973,0.785660091,0.184559939
"183",11608,2012,1,0,1,37,129,5457,4263,1015,0.781198461,0.185999633
"184",11608,2013,0,0,0,37,129,5674,4607,871,0.811949242,0.153507226
"185",11608,2014,0,0,0,37,129,5766,4958,633,0.859868193,0.109781478
"186",11608,2015,0,0,0,37,129,6467,5381,813,0.832070512,0.125715169
"187",11608,2016,1,0,1,37,129,5993,4789,967,0.799098949,0.161354914
"188",11608,2017,0,0,0,37,129,6101,5002,765,0.819865596,0.12538928
"189",11608,2018,0,0,0,37,129,6144,4906,1003,0.798502604,0.163248698
"190",11701,2010,16,91,107,37,129,4056,3749,139,0.924309665,0.034270217
"191",11701,2011,14,91,105,37,129,4345,3998,141,0.92013809,0.032451093
"192",11701,2012,18,73,91,37,129,4710,4469,118,0.948832272,0.025053079
"193",11701,2013,15,57,72,37,129,4775,4520,125,0.946596859,0.02617801
"194",11701,2014,15,69,84,37,129,4840,4589,89,0.948140496,0.01838843
"195",11701,2015,9,70,79,37,129,4995,4823,0,0.965565566,0
"196",11701,2016,25,77,102,37,129,5065,4956,0,0.978479763,0
"197",11701,2017,29,78,108,37,129,4850,4650,92,0.958762887,0.018969072
"198",11701,2018,16,69,85,37,129,4811,4618,38,0.9598836,0.007898566
"199",11703,2010,0,32,33,37,129,3582,3408,111,0.951423786,0.030988275
"200",11703,2011,7,32,39,37,129,3729,3620,27,0.970769643,0.007240547
"201",11703,2012,2,21,23,37,129,3743,3686,29,0.984771574,0.007747796
"202",11703,2013,0,28,28,37,129,3972,3886,18,0.978348439,0.004531722
"203",11703,2014,2,14,16,37,129,3984,3875,27,0.972640562,0.006777108
"204",11703,2015,5,15,20,37,129,4041,3903,15,0.965850037,0.003711952
"205",11703,2016,0,10,10,37,129,4132,3954,17,0.956921588,0.00411423
"206",11703,2017,1,18,19,37,129,4252,4078,18,0.959078081,0.004233302
"207",11703,2018,4,14,18,37,129,4298,4157,25,0.967194044,0.005816659
"208",11705,2010,0,5,5,37,129,8227,7770,40,0.944451197,0.00486204
"209",11705,2011,1,6,7,37,129,8153,7833,5,0.960750644,0.000613271
"210",11705,2012,0,9,9,37,129,8220,7899,96,0.960948905,0.011678832
"211",11705,2013,2,1,3,37,129,8271,7990,28,0.966025874,0.003385322
"212",11705,2014,1,2,3,37,129,8036,7681,118,0.955823793,0.014683922
"213",11705,2015,1,0,1,37,129,7915,7543,115,0.953000632,0.014529375
"214",11705,2016,0,1,1,37,129,8158,7678,230,0.94116205,0.028193185
"215",11705,2017,0,2,2,37,129,8728,8330,193,0.954399633,0.022112741
"216",11705,2018,0,5,5,37,129,9112,8592,258,0.942932397,0.028314311
"217",11800,2010,0,1,1,37,129,2587,2587,0,1,0
"218",11800,2011,0,7,7,37,129,2519,2508,8,0.995633188,0.003175863
"219",11800,2012,0,1,1,37,129,2504,2482,16,0.991214058,0.006389776
"220",11800,2013,0,3,3,37,129,2511,2490,2,0.991636798,0.000796495
"221",11800,2014,0,3,3,37,129,2525,2498,1,0.989306931,0.00039604
"222",11800,2015,0,3,3,37,129,2540,2507,0,0.987007874,0
"223",11800,2016,0,0,0,37,129,2546,2508,0,0.985074627,0
"224",11800,2017,0,0,0,37,129,2545,2490,0,0.978388998,0
"225",11800,2018,0,1,1,37,129,2536,2483,4,0.979100946,0.001577287
"226",11902,2010,59,155,216,37,129,5154,4924,204,0.955374466,0.039580908
"227",11902,2011,37,171,209,37,129,5486,5046,377,0.919795844,0.068720379
"228",11902,2012,36,163,200,37,129,5923,5383,504,0.908829985,0.085092014
"229",11902,2013,42,132,176,37,129,6092,5501,526,0.902987525,0.086342745
"230",11902,2014,36,125,162,37,129,6136,5595,482,0.911831812,0.078552803
"231",11902,2015,68,155,231,37,129,6328,5752,477,0.90897598,0.075379267
"232",11902,2016,29,101,133,37,129,6159,5634,422,0.914758889,0.068517616
"233",11902,2017,22,109,131,37,129,6001,5677,236,0.946008999,0.039326779
"234",11902,2018,21,81,102,37,129,5931,5468,342,0.921935593,0.057663126
"235",11903,2010,93,187,281,37,129,6849,5922,284,0.864651774,0.041465907
"236",11903,2011,86,196,283,37,129,7210,6197,279,0.859500693,0.038696255
"237",11903,2012,42,159,202,37,129,7641,7048,289,0.922392357,0.037822275
"238",11903,2013,66,142,211,37,129,8041,7293,432,0.906976744,0.053724661
"239",11903,2014,50,166,217,37,129,8637,7629,618,0.88329281,0.071552622
"240",11903,2015,51,144,196,37,129,8864,7601,980,0.857513538,0.110559567
"241",11903,2016,43,157,202,37,129,9092,7857,1025,0.8641663,0.112736472
"242",11903,2017,38,167,205,37,129,8753,7547,962,0.862218668,0.109905175
"243",11903,2018,38,136,174,37,129,9015,7722,957,0.856572379,0.106156406
"244",11904,2010,4,58,63,37,129,1836,1788,17,0.973856209,0.009259259
"245",11904,2011,10,41,55,37,129,1712,1635,14,0.955023364,0.00817757
"246",11904,2012,6,34,40,37,129,1645,1488,116,0.904559271,0.070516717
"247",11904,2013,1,30,31,37,129,1636,1492,96,0.91198044,0.058679707
"248",11904,2014,4,25,30,37,129,1732,1597,90,0.922055427,0.051963048
"249",11904,2015,3,22,27,37,129,1898,1728,109,0.910432034,0.057428872
"250",11904,2016,1,26,27,37,129,2253,2102,113,0.932978251,0.050155348
"251",11904,2017,2,63,65,37,129,2442,2268,108,0.928746929,0.044226044
"252",11904,2018,6,24,30,37,129,2834,2691,77,0.949541284,0.027170078
"253",12001,2010,19,121,141,37,129,6252,5571,294,0.891074856,0.047024952
"254",12001,2011,12,139,152,37,129,6238,5731,192,0.91872395,0.030779096
"255",12001,2012,7,72,79,37,129,6419,5744,262,0.894843434,0.040816327
"256",12001,2013,6,117,123,37,129,6304,5522,373,0.875951777,0.059168782
"257",12001,2014,10,85,95,37,129,6456,5833,406,0.90350062,0.062887237
"258",12001,2015,22,89,111,37,129,6819,6176,368,0.905704649,0.053966857
"259",12001,2016,15,71,86,37,129,6776,5918,471,0.873376623,0.069510035
"260",12001,2017,15,67,84,37,129,7105,6291,496,0.885432794,0.069809993
"261",12001,2018,18,41,60,37,129,7406,6557,261,0.885363219,0.035241696
"262",12004,2010,0,4,4,37,129,3860,3636,39,0.941968912,0.010103627
"263",12004,2011,1,16,17,37,129,4016,3756,42,0.935258964,0.010458167
"264",12004,2012,1,12,13,37,129,3858,3668,18,0.950751685,0.00466563
"265",12004,2013,4,13,17,37,129,3750,3437,58,0.916533333,0.015466667
"266",12004,2014,2,9,11,37,129,3705,3460,39,0.933873144,0.010526316
"267",12004,2015,0,7,7,37,129,3790,3566,32,0.940897098,0.008443272
"268",12004,2016,0,7,7,37,129,3633,3363,81,0.925681255,0.022295623
"269",12004,2017,1,8,9,37,129,3587,3414,83,0.951770282,0.023139113
"270",12004,2018,0,7,7,37,129,3740,3561,45,0.952139037,0.012032086
"271",12006,2010,10,45,56,37,129,3789,3478,258,0.917920296,0.068091845
"272",12006,2011,10,63,73,37,129,3601,3211,336,0.891696751,0.093307415
"273",12006,2012,3,52,55,37,129,3578,3205,324,0.895751817,0.090553382
"274",12006,2013,19,57,76,37,129,3720,3396,280,0.912903226,0.075268817
"275",12006,2014,3,49,52,37,129,3949,3412,429,0.864016207,0.108635097
"276",12006,2015,10,37,48,37,129,4002,3499,272,0.874312844,0.067966017
"277",12006,2016,23,46,70,37,129,4184,3652,245,0.872848948,0.058556405
"278",12006,2017,19,43,63,37,129,4387,3792,279,0.864372008,0.063596991
"279",12006,2018,7,45,52,37,129,4536,3831,299,0.84457672,0.065917108
"280",12007,2010,13,23,37,37,129,3611,3523,24,0.975630019,0.006646358
"281",12007,2011,14,46,60,37,129,3588,3456,67,0.963210702,0.018673356
"282",12007,2012,5,32,38,37,129,3777,3480,80,0.921366164,0.021180831
"283",12007,2013,20,23,43,37,129,3714,3472,69,0.934841142,0.018578352
"284",12007,2014,16,40,57,37,129,4132,3878,75,0.938528558,0.018151016
"285",12007,2015,5,33,38,37,129,4260,4048,62,0.950234742,0.014553991
"286",12007,2016,12,28,40,37,129,4096,3870,94,0.944824219,0.022949219
"287",12007,2017,6,34,40,37,129,4154,4010,144,0.965334617,0.034665383
"288",12007,2018,12,42,55,37,129,4413,4116,297,0.932698844,0.067301156
"289",12008,2010,1,28,29,37,129,5549,4240,567,0.76410164,0.102180573
"290",12008,2011,5,25,31,37,129,5578,4345,525,0.77895303,0.094119756
"291",12008,2012,18,27,45,37,129,5689,4194,670,0.737212164,0.117771137
"292",12008,2013,5,29,34,37,129,5653,4354,591,0.770210508,0.104546259
"293",12008,2014,4,23,27,37,129,5266,4239,584,0.804975313,0.110900114
"294",12008,2015,11,24,35,37,129,5544,4577,592,0.825577201,0.106782107
"295",12008,2016,5,27,32,37,129,5514,4522,780,0.820094305,0.141458107
"296",12008,2017,3,29,36,37,129,5625,4628,749,0.822755556,0.133155556
"297",12008,2018,4,16,20,37,129,5994,4854,894,0.80980981,0.149149149
"298",12009,2010,20,42,62,37,129,6972,5755,787,0.825444636,0.112880092
"299",12009,2011,15,54,69,37,129,7020,5805,934,0.826923077,0.133048433
"300",12009,2012,18,34,53,37,129,7197,5905,889,0.820480756,0.12352369
"301",12009,2013,13,40,54,37,129,7079,6142,704,0.867636672,0.099449075
"302",12009,2014,9,15,24,37,129,7090,6320,559,0.891396333,0.078843441
"303",12009,2015,10,45,55,37,129,6957,6312,390,0.907287624,0.056058646
"304",12009,2016,30,32,62,37,129,7038,6474,225,0.919863598,0.031969309
"305",12009,2017,12,24,36,37,129,7154,6725,98,0.940033548,0.01369863
"306",12009,2018,0,30,30,37,129,7402,6817,189,0.920967306,0.02553364
"307",12010,2010,3,29,32,37,129,4878,4709,125,0.965354654,0.025625256
"308",12010,2011,2,33,36,37,129,4753,4617,77,0.971386493,0.016200295
"309",12010,2012,0,21,21,37,129,4782,4525,101,0.946256796,0.02112087
"310",12010,2013,3,20,23,37,129,5113,4774,162,0.933698416,0.031683943
"311",12010,2014,2,28,30,37,129,5086,4696,163,0.923318915,0.032048761
"312",12010,2015,1,9,10,37,129,5252,4849,176,0.923267327,0.033511043
"313",12010,2016,2,13,15,37,129,5155,4720,182,0.915615907,0.035305529
"314",12010,2017,1,8,9,37,129,5471,5001,185,0.914092488,0.033814659
"315",12010,2018,0,5,5,37,129,5362,4788,217,0.892950392,0.040469974
"316",12101,2010,13,45,58,37,129,7735,6605,461,0.853910795,0.059599224
"317",12101,2011,2,40,42,37,129,7983,6644,549,0.832268571,0.068771139
"318",12101,2012,12,37,49,37,129,8267,6875,541,0.831619693,0.06544091
"319",12101,2013,4,23,27,37,129,8102,6677,478,0.824117502,0.058997778
"320",12101,2014,6,28,34,37,129,8381,6789,752,0.810046534,0.089726763
"321",12101,2015,9,25,35,37,129,8463,6638,797,0.78435543,0.094174643
"322",12101,2016,8,44,52,37,129,8561,6853,770,0.800490597,0.089942764
"323",12101,2017,5,12,17,37,129,9000,7088,830,0.787555556,0.092222222
"324",12101,2018,9,21,30,37,129,9076,7272,967,0.801234024,0.106544733
"325",12103,2010,0,3,3,37,129,4312,4051,153,0.939471243,0.035482375
"326",12103,2011,0,4,4,37,129,4169,3958,182,0.949388343,0.043655553
"327",12103,2012,0,1,1,37,129,4246,3926,279,0.924634951,0.065708902
"328",12103,2013,2,0,2,37,129,4087,3886,165,0.950819672,0.040371911
"329",12103,2014,0,2,2,37,129,4233,4118,98,0.972832506,0.023151429
"330",12103,2015,0,1,1,37,129,4072,3872,146,0.950884086,0.035854617
"331",12103,2016,0,0,0,37,129,4310,4120,92,0.955916473,0.021345708
"332",12103,2017,0,0,0,37,129,4454,4276,87,0.960035923,0.019533004
"333",12103,2018,0,0,0,37,129,4463,4198,95,0.940622899,0.02128613
"334",12104,2010,0,0,0,37,129,5067,4366,409,0.861653839,0.080718374
"335",12104,2011,0,0,0,37,129,5175,4558,182,0.880772947,0.035169082
"336",12104,2012,0,4,4,37,129,5273,4412,453,0.836715342,0.08590935
"337",12104,2013,0,1,1,37,129,5349,4473,430,0.836231071,0.080388858
"338",12104,2014,0,0,0,37,129,5606,4801,389,0.856403853,0.069389939
"339",12104,2015,0,0,0,37,129,5723,5173,375,0.903896558,0.065525074
"340",12104,2016,0,4,4,37,129,6322,5710,381,0.903195191,0.060265739
"341",12104,2017,0,0,0,37,129,6625,6252,106,0.943698113,0.016
"342",12104,2018,0,2,2,37,129,6506,6171,107,0.948509069,0.016446357
"343",12105,2010,0,0,0,37,129,10558,9134,633,0.865125971,0.059954537
"344",12105,2011,0,15,15,37,129,11261,9929,648,0.881715656,0.057543735
"345",12105,2012,0,3,3,37,129,11024,9964,541,0.903846154,0.049074746
"346",12105,2013,0,3,3,37,129,11632,9868,1054,0.848349381,0.090612105
"347",12105,2014,0,0,0,37,129,12169,10170,974,0.835730134,0.080039444
"348",12105,2015,2,8,10,37,129,12229,10224,1331,0.836045466,0.108839643
"349",12105,2016,1,2,3,37,129,11838,9770,1291,0.825308329,0.109055584
"350",12105,2017,1,4,5,37,129,11874,9594,1414,0.80798383,0.119083712
"351",12105,2018,3,1,4,37,129,11309,10007,627,0.884870457,0.055442568
"352",12201,2010,1,0,1,37,129,2797,2797,0,1,0
"353",12201,2011,0,0,0,37,129,2984,2965,19,0.993632708,0.006367292
"354",12201,2012,0,0,0,37,129,2874,2798,20,0.973556019,0.006958942
